"species_i","site_i","s_range_size","s_pd","s_nnd","s_mpd","s_vpd","s_spd","s_kpd","s_richness","r_success","r_range_size","r_n_pd","r_n_nnd","r_n_mpd","r_n_vpd","r_n_spd","r_n_kpd","r_n_richness","r_e_pd","r_e_nnd","r_e_mpd","r_e_vpd","r_e_spd","r_e_kpd","r_e_richness","r_ne_pd","r_ne_nnd","r_ne_mpd","r_ne_vpd","r_ne_spd","r_ne_kpd","r_ne_richness"
"Serinus_canaria","N",-0.762195583189158,-1.64549419478502,-0.238408743259286,-0.741007242467684,1.54521440197887,0.623232426857286,-0.548421174494562,-1.23262798822445,0,1.96947439063257,-0.370918146623178,-0.470480593839312,-0.320801200825714,-0.404166074599939,-0.260258158834194,-0.223426637796432,-0.437558408327175,-1.45574540469112,-0.40001499764532,-0.744610303746775,1.36566145861399,0.455027877884441,-0.578987164562718,-1.48711022780928,-0.702495811828916,-0.35150178656482,-0.427344969574988,0.110978006846563,0.0652740387776317,-0.291297550561846,-0.78081386240149
"Serinus_leucopygius","H",-0.426441455740396,-0.270827049393686,-0.469018026365648,-1.10839130842657,1.06386476342658,0.992948221120946,-0.582919371098204,-0.391947401483572,0,-0.8526542514558,-1.26339843028492,-1.01433236204604,-0.445733542394395,1.15707019022024,-0.434789523261767,-0.419829238315389,-1.2240057261386,-0.622597916233533,-0.606224743566503,-0.209098919166452,0.291422392627618,0.307809652343542,-0.508030775888345,-0.594101464293344,-1.11224465318255,-0.614736985572688,-0.44544028224224,0.833411452061733,0.373506881796904,-0.516376693943454,-1.07394756818256
"Serinus_mozambicus","H",0.317383072761477,0.466955977304907,-0.450442064091711,-1.44041528686952,0.992836169301073,1.14007317909679,-0.575217234371003,0.490146022042571,1,-0.8526542514558,-1.26339843028491,-1.01433236204563,-0.445733542393316,1.15707019022024,-0.434789523261767,-0.419829238315389,-1.2240057261386,-0.622597916233533,-0.606224743566503,-0.209098919165257,0.291422392627661,0.307809652343507,-0.508030775888327,-0.594101464293344,-1.11224465318255,-0.614736985572688,-0.445440282240936,0.833411452061765,0.373506881796876,-0.516376693943442,-1.07394756818256
"Serinus_mozambicus","F",0.317383072761477,0.466955977304907,-0.450442064091711,-1.44041528686952,0.992836169301073,1.14007317909679,-0.575217234371003,0.490146022042571,0,-0.206624803266896,0.961192946161852,-1.30129464904089,-2.0131973499521,2.2497723776644,0.281097554676533,-0.904744000207225,0.990464352961988,0.983612230034528,-0.381621129247039,-0.85842931975972,-0.272961550448009,0.408437125368686,-0.43847210197165,0.974697714856268,1.0185803064464,-0.351501786557005,-1.81700885663389,0.957318146584069,0.978286388878974,-0.68983044537287,1.02308586548204
"Sicalis_flaveola","H",-0.0429069332316179,0.92224850036264,-0.527871588729663,-1.08654675940915,1.66284668809652,0.689147067656774,-0.546729786968151,1.13411563405344,1,-0.8526542514558,-1.25765015199999,-0.595640191284711,-0.363707975908941,0.70739119671513,-0.331785340345971,-0.488548247883357,-1.2240057261386,-0.622597916233533,-0.0397252350955437,-0.249362870195741,0.393279634436811,0.267196744199156,-0.497952424766357,-0.594101464293344,-1.11224465318255,0.108422873744583,-0.426723392175912,0.751828454133659,0.415729141024714,-0.537222916303099,-1.07394756818256
"Sicalis_flaveola","F",-0.0429069332316179,0.92224850036264,-0.527871588729663,-1.08654675940915,1.66284668809652,0.689147067656774,-0.546729786968151,1.13411563405344,0,-0.206624803266896,0.96666955131945,-0.902390561938751,-2.12690672146745,2.65197753546818,0.258557196643235,-0.905390675573688,0.990464352961988,0.983612230034528,-0.186631804787761,-0.902339592385264,-0.16758960470448,0.318477290136471,-0.409532432878315,0.974697714856268,1.0185803064464,-0.0791093883012419,-1.92046297951908,1.25906652709185,0.919204515217866,-0.68568260231764,1.02308586548204
"Streptopelia_bitorquata","N",-0.741533790730772,-0.716688342752932,0.874888589073168,-0.00467123343332039,-0.514083616164357,-0.20400138752851,-0.222240184003506,-0.79261659738101,0,1.96947439063257,-0.369700739968234,-0.381807323362266,-0.394265594153226,-0.731584349439203,0.508720892971135,0.736165295548887,-0.437558408327175,-1.45574540469112,0.0790240859562533,1.05921531229744,-0.881800657094594,-1.1766033607614,0.643161114342321,-1.48711022780928,-0.702495811828916,0.260011252943047,0.106116640554894,-1.15650409441858,0.222744685774151,0.413964747500803,-0.78081386240149
"Spilopelia_chinensis","H",0.0190784441435382,0.713471303466936,0.87151033206368,0.172165031360831,-0.705644094163876,-0.250702818760344,-0.0565614982810535,0.652691406424736,1,-0.8526542514558,-1.23274610318538,1.21831691753043,-0.0526467319546154,-0.59089949538681,0.954154484826807,-0.756115512230655,-1.2240057261386,-0.622597916233533,0.0420714424874676,0.55688606331309,-0.361046444138098,-0.55514014338778,-0.0712429942837457,-0.594101464293344,-1.11224465318255,0.212839687826573,0.213963564476121,-0.409695828021114,-0.0812112958226143,-0.140129074233417,-1.07394756818256
"Spilopelia_chinensis","N",0.0190784441435382,0.713471303466936,0.87151033206368,0.172165031360831,-0.705644094163876,-0.250702818760344,-0.0565614982810535,0.652691406424736,1,1.96947439063257,-0.369700739968171,-0.38180732336005,-0.394265594147537,-0.731584349439203,0.508720892971135,0.736165295548887,-0.437558408327175,-1.43455228021232,0.0399504480468776,0.950775298991745,-0.702409989321286,-1.15592405073184,0.530436951278611,-1.46297485582236,-0.695044469427108,0.21013215142392,0.0727175128628461,-1.08129154867548,-0.000496042833014688,0.463812621732577,-0.773297613535308
"Spilopelia_chinensis","F",0.0190784441435382,0.713471303466936,0.87151033206368,0.172165031360831,-0.705644094163876,-0.250702818760344,-0.0565614982810535,0.652691406424736,0,-0.206624803266896,0.971482349435981,-0.551836745472112,-0.0904100749515118,-0.718950388431384,-0.424222859126077,1.26730927222059,0.990464352961988,0.983612230034528,0.9280757663999,0.762252966578006,-1.6303135535743,-0.166111718420129,2.14091152304724,0.974697714856268,1.0185803064464,1.03076264525524,0.271758149047943,-1.5489155849859,0.0107926162105094,1.50392770586293,1.02308586548204
"Streptopelia_decaocto","H",1.13998068501094,0.798035353443946,0.0839235606509455,0.202097078811751,-0.810567810898913,-0.365178591942001,0.144937538079732,0.537770784345626,0,-0.8526542514558,-1.2327461031854,1.2183169175299,-0.0526467319559398,-0.59089949538681,0.954154484826807,-0.756115512230654,-1.2240057261386,-0.622597916233533,0.0420714424874676,0.556886063311554,-0.361046444138148,-0.555140143387791,-0.0712429942837174,-0.594101464293344,-1.11224465318255,0.212839687826573,0.213963564474459,-0.409695828021157,-0.0812112958226237,-0.140129074233388,-1.07394756818256
"Streptopelia_decaocto","N",1.13998068501094,0.798035353443946,0.0839235606509455,0.202097078811751,-0.810567810898913,-0.365178591942001,0.144937538079732,0.537770784345626,1,1.96947439063257,-0.369700739968187,-0.381807323360575,-0.39426559414891,-0.731584349439203,0.508720892971135,0.736165295548887,-0.437558408327175,-1.44391214364633,-0.368323363188446,0.939364903386376,-0.659656197005671,-1.24266412759512,0.619152061715996,-1.46297485582236,-0.69833532667426,-0.311046115248836,0.0689237520811176,-1.06248324033091,-0.115644269409471,0.568738470237025,-0.773297613535308
"Streptopelia_decaocto","F",1.13998068501094,0.798035353443946,0.0839235606509455,0.202097078811751,-0.810567810898913,-0.365178591942001,0.144937538079732,0.537770784345626,1,-0.206624803266896,0.971482349435966,-0.551836745472636,-0.0904100749528849,-0.718950388431384,-0.424222859126077,1.26730927222059,0.990464352961988,1.00485397927865,0.0420714424874676,0.718366716019962,-1.55663787821872,-1.29603922200042,2.90715548469449,0.998833086843185,1.02604874494822,0.212839687826573,0.255034116817338,-1.50956497266801,-0.455076674667562,1.77758567007508,1.03060211434822
"Streptopelia_roseogrisea","F",-0.0635687256900032,-0.238528876175552,-0.579907211796002,0.162145842684205,-0.777672058405288,-0.676604994540084,0.303023871920854,-0.359852452974991,1,-0.206624803266896,0.971482349435971,-0.551836745472566,-0.0904100749526883,-0.718950388431384,-0.424222859126077,1.26730927222059,0.990464352961988,1.00485397927866,0.0420714424875695,0.718366716020189,-1.55663787821872,-1.29603922200042,2.90715548469449,0.998833086843185,1.02604874494822,0.212839687826703,0.255034116817516,-1.50956497266801,-0.455076674667562,1.77758567007508,1.03060211434822
"Sturnella_loyca","H",-0.571074002949093,-0.804152327340743,-0.659293100376705,-0.768718821360538,1.37988346980903,0.678937461428861,-0.536680823643368,-0.725320737604954,0,-0.8526542514558,-1.25765015199998,-0.595640191284377,-0.363707975908059,0.70739119671513,-0.331785340345971,-0.488548247883357,-1.2240057261386,-0.622597916233533,0.338944352279135,-0.222978124399257,0.317774954284486,0.317841569297899,-0.523670488507559,-0.594101464293344,-1.11224465318255,0.591810134349135,-0.411048166710151,0.686228786600433,0.449939872853516,-0.553208576342981,-1.07394756818256
